household_id,appliance_type,power_rating,star_rating,daily_hours,room_size,household_size,location_type,income_bracket,house_type,season,daily_consumption,monthly_consumption,monthly_cost,efficiency_score,usage_pattern,appliance_age,brand_tier,total_monthly_bill,cost_per_kwh,consumption_per_watt,efficiency_ratio
3,Microwave,1170,5,0.97,242,4,Urban,High,Independent House,Monsoon,0.94,28.2,183.32,100,Regular,2,Standard,8123.45,6.500709219858156,0.8034188034188033,4.273504273504273
3,Water Heater,1992,3,3.75,248,4,Urban,High,Independent House,Monsoon,8.03,240.9,1565.86,60,Regular,7,Premium,8123.45,6.500041511000415,4.031124497991968,1.5060240963855422
3,Laptop,62,5,11.6,125,4,Urban,High,Independent House,Monsoon,0.558,16.74,108.8,100,Heavy,1,Standard,8123.45,6.499402628434887,9.000000000000002,80.64516129032258
3,Desktop Computer,384,4,9.24,259,4,Urban,High,Independent House,Monsoon,2.933,88.0,571.98,80,Heavy,7,Standard,8123.45,6.4997727272727275,7.638020833333333,10.416666666666666
4,Refrigerator,152,2,12.0,147,2,Rural,Middle,Independent House,Summer,2.283,68.49,445.22,40,Heavy,5,Premium,4488.16,6.500511023507082,15.019736842105262,13.157894736842106
4,Television,144,3,9.93,198,2,Rural,Middle,Independent House,Summer,1.398,41.95,272.69,60,Heavy,4,Standard,4488.16,6.5003575685339685,9.708333333333332,20.833333333333336
4,LED Lights,18,4,10.72,149,2,Rural,Middle,Independent House,Summer,0.19,5.71,37.12,80,Heavy,8,Standard,4488.16,6.500875656742556,10.555555555555555,222.22222222222223
4,Ceiling Fan,62,4,9.34,308,2,Rural,Middle,Independent House,Summer,0.511,15.32,99.59,80,Heavy,6,Standard,4488.16,6.500652741514361,8.241935483870968,64.51612903225806
4,Air Conditioner,1492,3,11.77,120,2,Rural,Middle,Independent House,Summer,16.457,493.7,3209.08,60,Heavy,3,Budget,4488.16,6.500060765647154,11.030160857908847,2.0107238605898123
4,Washing Machine,404,3,1.13,88,2,Rural,Middle,Independent House,Summer,0.495,14.86,96.62,60,Regular,1,Premium,4488.16,6.502018842530283,1.2252475247524752,7.425742574257425
4,Microwave,1189,5,1.64,237,2,Rural,Middle,Independent House,Summer,1.681,50.44,327.84,100,Regular,3,Standard,4488.16,6.499603489294211,1.413793103448276,4.205214465937763
5,Refrigerator,274,4,18.0,350,3,Urban,Middle,Apartment,Spring,4.076,122.28,794.85,80,Heavy,9,Standard,3794.26,6.500245338567223,14.875912408759122,14.5985401459854
5,Television,171,3,9.33,325,3,Urban,Middle,Apartment,Spring,1.448,43.43,282.28,60,Heavy,8,Budget,3794.26,6.499654616624452,8.467836257309942,17.543859649122805
5,LED Lights,19,4,7.69,117,3,Urban,Middle,Apartment,Spring,0.125,3.75,24.4,80,Regular,5,Premium,3794.26,6.506666666666666,6.578947368421052,210.5263157894737
5,Ceiling Fan,67,4,15.7,107,3,Urban,Middle,Apartment,Spring,0.866,25.99,168.93,80,Heavy,1,Premium,3794.26,6.499807618314737,12.925373134328359,59.70149253731343
5,Air Conditioner,1300,5,10.13,316,3,Urban,Middle,Apartment,Spring,10.213,306.39,1991.56,100,Heavy,2,Standard,3794.26,6.500081595352329,7.8561538461538465,3.846153846153846
5,Washing Machine,636,3,2.07,189,3,Urban,Middle,Apartment,Spring,1.248,37.45,243.4,60,Regular,9,Standard,3794.26,6.499332443257677,1.9622641509433962,4.716981132075472
5,Microwave,744,3,1.9,106,3,Urban,Middle,Apartment,Spring,1.481,44.44,288.84,60,Regular,7,Budget,3794.26,6.4995499549955,1.9905913978494625,4.032258064516129
6,Refrigerator,207,2,24.0,387,6,Urban,Low,Independent House,Summer,6.343,190.29,1236.9,40,Heavy,5,Budget,1582.45,6.5000788270534455,30.642512077294686,9.66183574879227
6,Television,110,4,8.91,261,6,Urban,Low,Independent House,Summer,0.795,23.84,154.99,80,Heavy,1,Standard,1582.45,6.5012583892617455,7.227272727272728,36.36363636363637
6,LED Lights,16,4,8.26,114,6,Urban,Low,Independent House,Summer,0.11,3.3,21.47,80,Heavy,3,Budget,1582.45,6.506060606060606,6.875,250.0
6,Ceiling Fan,59,3,15.7,139,6,Urban,Low,Independent House,Summer,0.867,26.01,169.09,60,Heavy,5,Premium,1582.45,6.500961168781238,14.694915254237289,50.847457627118644
7,Refrigerator,297,5,24.0,266,4,Suburban,Low,Independent House,Spring,6.011,180.34,1172.23,100,Heavy,1,Standard,1518.91,6.500110901630254,20.239057239057242,16.835016835016837
7,Television,144,4,7.73,129,4,Suburban,Low,Independent House,Spring,1.099,32.98,214.38,80,Regular,4,Standard,1518.91,6.500303214069134,7.631944444444445,27.77777777777778
7,LED Lights,12,4,8.3,112,4,Suburban,Low,Independent House,Spring,0.086,2.59,16.87,80,Heavy,3,Standard,1518.91,6.513513513513514,7.166666666666666,333.3333333333333
7,Ceiling Fan,72,4,9.27,153,4,Suburban,Low,Independent House,Spring,0.592,17.76,115.43,80,Heavy,9,Premium,1518.91,6.499436936936937,8.222222222222221,55.55555555555556
8,Refrigerator,178,2,18.0,333,3,Urban,High,Apartment,Monsoon,3.964,118.91,772.9,40,Heavy,3,Budget,5539.99,6.499873854175426,22.269662921348313,11.235955056179776
8,Television,187,3,9.66,208,3,Urban,High,Apartment,Monsoon,1.975,59.24,385.05,60,Heavy,3,Standard,5539.99,6.49983119513842,10.56149732620321,16.0427807486631
8,LED Lights,11,4,8.46,264,3,Urban,High,Apartment,Monsoon,0.088,2.63,17.13,80,Heavy,3,Premium,5539.99,6.513307984790875,8.0,363.6363636363637
8,Ceiling Fan,74,4,14.91,221,3,Urban,High,Apartment,Monsoon,0.926,27.77,180.5,80,Heavy,9,Budget,5539.99,6.499819949585884,12.513513513513514,54.054054054054056
8,Air Conditioner,1308,5,12.17,380,3,Urban,High,Apartment,Monsoon,13.488,404.63,2630.1,100,Heavy,5,Budget,5539.99,6.500012356968094,10.311926605504587,3.8226299694189603
8,Washing Machine,777,5,1.03,243,3,Urban,High,Apartment,Monsoon,0.59,17.71,115.09,100,Regular,1,Standard,5539.99,6.498588368153586,0.7593307593307593,6.435006435006435
8,Microwave,1039,3,0.8,212,3,Urban,High,Apartment,Monsoon,0.857,25.72,167.16,60,Regular,5,Standard,5539.99,6.499222395023328,0.8248315688161694,2.8873917228103947
8,Water Heater,2867,5,1.97,221,3,Urban,High,Apartment,Monsoon,4.476,134.29,872.87,100,Regular,2,Standard,5539.99,6.499888301437188,1.5612138123474015,1.7439832577607255
8,Laptop,75,5,7.75,182,3,Urban,High,Apartment,Monsoon,0.507,15.21,98.88,100,Regular,9,Premium,5539.99,6.500986193293885,6.760000000000001,66.66666666666667
8,Desktop Computer,378,4,4.88,125,3,Urban,High,Apartment,Monsoon,1.54,46.2,300.31,80,Regular,6,Standard,5539.99,6.50021645021645,4.074074074074074,10.582010582010582
9,Refrigerator,246,3,18.0,326,3,Urban,Middle,Apartment,Spring,4.055,121.64,790.68,60,Heavy,6,Standard,3230.41,6.500164419598816,16.483739837398375,12.195121951219512
9,Television,117,5,5.21,164,3,Urban,Middle,Apartment,Spring,0.458,13.74,89.31,100,Regular,7,Standard,3230.41,6.5,3.9145299145299144,42.73504273504273
9,LED Lights,16,4,6.75,258,3,Urban,Middle,Apartment,Spring,0.106,3.17,20.59,80,Regular,7,Standard,3230.41,6.495268138801262,6.625,250.0
9,Ceiling Fan,58,4,15.48,341,3,Urban,Middle,Apartment,Spring,0.857,25.71,167.1,80,Heavy,7,Standard,3230.41,6.499416569428238,14.775862068965516,68.9655172413793
9,Air Conditioner,1207,5,10.78,152,3,Urban,Middle,Apartment,Spring,9.453,283.59,1843.32,100,Heavy,2,Premium,3230.41,6.499947106738602,7.831814415907208,4.142502071251036
9,Washing Machine,486,3,1.47,168,3,Urban,Middle,Apartment,Spring,0.782,23.46,152.46,60,Regular,4,Budget,3230.41,6.498721227621483,1.6090534979423867,6.172839506172839
9,Microwave,920,5,1.15,123,3,Urban,Middle,Apartment,Spring,0.856,25.68,166.95,100,Regular,2,Standard,3230.41,6.501168224299065,0.9304347826086957,5.434782608695652
10,Refrigerator,245,5,24.0,223,4,Rural,Low,Apartment,Summer,4.613,138.39,899.53,100,Heavy,6,Premium,1208.26,6.499963870221837,18.82857142857143,20.408163265306122
10,Television,176,5,6.78,273,4,Rural,Low,Apartment,Summer,0.94,28.19,183.26,100,Regular,4,Budget,1208.26,6.500886839304718,5.340909090909091,28.40909090909091
10,LED Lights,12,5,6.24,345,4,Rural,Low,Apartment,Summer,0.061,1.83,11.89,100,Regular,5,Standard,1208.26,6.497267759562842,5.083333333333333,416.6666666666667
10,Ceiling Fan,53,4,12.78,188,4,Rural,Low,Apartment,Summer,0.582,17.47,113.58,80,Heavy,3,Standard,1208.26,6.501431024613623,10.981132075471697,75.47169811320755
11,Refrigerator,161,4,24.0,164,4,Urban,Middle,Apartment,Summer,3.294,98.82,642.3,80,Heavy,8,Standard,4859.9,6.499696417729204,20.459627329192546,24.84472049689441
11,Television,173,5,7.8,81,4,Urban,Middle,Apartment,Summer,1.01,30.3,196.95,100,Regular,5,Premium,4859.9,6.499999999999999,5.8381502890173405,28.901734104046245
11,LED Lights,17,5,6.58,163,4,Urban,Middle,Apartment,Summer,0.09,2.69,17.51,100,Regular,9,Standard,4859.9,6.509293680297398,5.294117647058823,294.11764705882354
11,Ceiling Fan,56,4,13.22,107,4,Urban,Middle,Apartment,Summer,0.634,19.02,123.61,80,Heavy,5,Premium,4859.9,6.498948475289169,11.321428571428571,71.42857142857143
11,Air Conditioner,1448,5,16.18,102,4,Urban,Middle,Apartment,Summer,18.575,557.25,3622.11,100,Heavy,3,Standard,4859.9,6.499973082099596,12.828038674033149,3.453038674033149
11,Washing Machine,479,4,1.9,150,4,Urban,Middle,Apartment,Summer,0.81,24.29,157.9,80,Regular,8,Standard,4859.9,6.500617538081515,1.6910229645093946,8.350730688935283
11,Microwave,700,3,0.75,116,4,Urban,Middle,Apartment,Summer,0.51,15.31,99.52,60,Regular,5,Budget,4859.9,6.50032658393207,0.7285714285714285,4.285714285714286
12,Refrigerator,193,5,12.0,357,2,Rural,Middle,Apartment,Spring,1.868,56.03,364.18,100,Heavy,4,Standard,3243.59,6.49973228627521,9.678756476683938,25.906735751295336
12,Television,81,3,7.19,278,2,Rural,Middle,Apartment,Spring,0.598,17.95,116.7,60,Regular,3,Standard,3243.59,6.5013927576601676,7.382716049382716,37.03703703703704
12,LED Lights,13,4,7.9,227,2,Rural,Middle,Apartment,Spring,0.096,2.88,18.7,80,Regular,4,Budget,3243.59,6.493055555555555,7.384615384615384,307.6923076923077
12,Ceiling Fan,73,5,8.04,299,2,Rural,Middle,Apartment,Spring,0.514,15.42,100.22,100,Heavy,7,Standard,3243.59,6.49935149156939,7.0410958904109595,68.4931506849315
12,Air Conditioner,1494,4,9.91,233,2,Rural,Middle,Apartment,Spring,12.329,369.86,2404.07,80,Heavy,4,Budget,3243.59,6.499945925485319,8.252342704149934,2.677376171352075
12,Washing Machine,633,5,0.66,87,2,Rural,Middle,Apartment,Spring,0.312,9.37,60.91,100,Regular,6,Budget,3243.59,6.5005336179295625,0.49289099526066354,7.898894154818326
12,Microwave,785,5,1.54,363,2,Rural,Middle,Apartment,Spring,0.917,27.51,178.81,100,Regular,8,Budget,3243.59,6.49981824790985,1.1681528662420382,6.369426751592356
13,Refrigerator,225,4,24.0,182,4,Rural,Low,Apartment,Summer,4.958,148.73,966.77,80,Heavy,5,Standard,1331.41,6.500168089827204,22.035555555555554,17.77777777777778
13,Television,184,4,6.09,143,4,Rural,Low,Apartment,Summer,0.918,27.53,178.93,80,Regular,9,Budget,1331.41,6.499455139847439,4.989130434782608,21.73913043478261
13,LED Lights,17,5,10.51,110,4,Rural,Low,Apartment,Summer,0.15,4.49,29.21,100,Heavy,4,Standard,1331.41,6.505567928730512,8.823529411764707,294.11764705882354
13,Ceiling Fan,55,4,15.41,247,4,Rural,Low,Apartment,Summer,0.803,24.08,156.5,80,Heavy,9,Standard,1331.41,6.499169435215947,14.6,72.72727272727273
14,Refrigerator,224,2,24.0,238,6,Rural,Middle,Apartment,Summer,6.23,186.89,1214.81,40,Heavy,1,Standard,5336.139999999999,6.500133768526942,27.8125,8.928571428571429
14,Television,150,5,8.17,112,6,Rural,Middle,Apartment,Summer,0.929,27.88,181.2,100,Heavy,1,Standard,5336.139999999999,6.499282639885222,6.193333333333333,33.333333333333336
14,LED Lights,14,5,9.52,145,6,Rural,Middle,Apartment,Summer,0.106,3.18,20.65,100,Heavy,3,Standard,5336.139999999999,6.493710691823899,7.571428571428571,357.1428571428571
14,Ceiling Fan,57,4,11.83,105,6,Rural,Middle,Apartment,Summer,0.56,16.79,109.12,80,Heavy,5,Standard,5336.139999999999,6.499106611078023,9.824561403508772,70.17543859649122
14,Air Conditioner,1292,4,15.4,197,6,Rural,Middle,Apartment,Summer,18.088,542.64,3527.14,80,Heavy,2,Budget,5336.139999999999,6.499963143151998,14.0,3.095975232198142
14,Washing Machine,420,5,2.79,366,6,Rural,Middle,Apartment,Summer,1.013,30.39,197.54,100,Regular,9,Standard,5336.139999999999,6.5001645278051985,2.4119047619047618,11.904761904761905
14,Microwave,750,5,0.8,168,6,Rural,Middle,Apartment,Summer,0.439,13.18,85.68,100,Regular,4,Standard,5336.139999999999,6.500758725341427,0.5853333333333334,6.666666666666667
15,Refrigerator,176,2,18.0,165,3,Urban,Middle,Apartment,Spring,3.49,104.69,680.47,40,Heavy,2,Standard,4410.139999999999,6.499856719839527,19.829545454545457,11.363636363636365
15,Television,156,4,4.73,118,3,Urban,Middle,Apartment,Spring,0.668,20.03,130.19,80,Regular,7,Standard,4410.139999999999,6.499750374438342,4.282051282051282,25.641025641025642
15,LED Lights,9,5,7.11,333,3,Urban,Middle,Apartment,Spring,0.051,1.53,9.95,100,Regular,7,Budget,4410.139999999999,6.503267973856208,5.666666666666666,555.5555555555555
15,Ceiling Fan,61,3,13.07,368,3,Urban,Middle,Apartment,Spring,0.819,24.57,159.7,60,Heavy,5,Budget,4410.139999999999,6.499796499796499,13.42622950819672,49.18032786885246
15,Air Conditioner,1904,3,7.7,191,3,Urban,Middle,Apartment,Spring,15.826,474.79,3086.12,60,Regular,1,Standard,4410.139999999999,6.4999684070852375,8.311974789915967,1.5756302521008405
15,Washing Machine,692,4,1.85,338,3,Urban,Middle,Apartment,Spring,1.058,31.73,206.27,80,Regular,4,Premium,4410.139999999999,6.500787897888434,1.5289017341040463,5.780346820809249
15,Microwave,1138,4,0.73,112,3,Urban,Middle,Apartment,Spring,0.705,21.14,137.44,80,Regular,1,Premium,4410.139999999999,6.501419110690634,0.6195079086115993,3.5149384885764503
16,Refrigerator,292,4,12.0,159,2,Urban,Middle,Apartment,Summer,3.0,90.01,585.05,80,Heavy,9,Standard,6693.93,6.4998333518497935,10.273972602739725,13.698630136986303
16,Television,81,5,7.58,191,2,Urban,Middle,Apartment,Summer,0.484,14.53,94.43,100,Regular,7,Budget,6693.93,6.498967653131453,5.9753086419753085,61.72839506172839
16,LED Lights,19,4,8.05,317,2,Urban,Middle,Apartment,Summer,0.144,4.31,28.04,80,Heavy,7,Budget,6693.93,6.505800464037123,7.578947368421052,210.5263157894737
16,Ceiling Fan,53,3,15.15,87,2,Urban,Middle,Apartment,Summer,0.782,23.45,152.44,60,Heavy,6,Standard,6693.93,6.500639658848614,14.754716981132075,56.60377358490566
16,Air Conditioner,1707,2,15.23,84,2,Urban,Middle,Apartment,Summer,28.511,855.34,5559.71,40,Heavy,5,Standard,6693.93,6.5,16.70240187463386,1.1716461628588166
16,Washing Machine,599,4,1.18,137,2,Urban,Middle,Apartment,Summer,0.615,18.45,119.92,80,Regular,6,Premium,6693.93,6.499728997289973,1.0267111853088482,6.67779632721202
16,Microwave,871,4,1.04,279,2,Urban,Middle,Apartment,Summer,0.791,23.74,154.34,80,Regular,6,Standard,6693.93,6.501263689974727,0.9081515499425947,4.592422502870264
17,Refrigerator,226,2,12.0,141,2,Rural,Middle,Independent House,Spring,3.204,96.12,624.8,40,Heavy,7,Budget,3805.3,6.50020807324178,14.176991150442477,8.849557522123893
17,Television,96,5,9.56,84,2,Rural,Middle,Independent House,Spring,0.769,23.08,150.01,100,Heavy,8,Standard,3805.3,6.499566724436741,8.010416666666668,52.083333333333336
17,LED Lights,17,5,9.13,231,2,Rural,Middle,Independent House,Spring,0.131,3.94,25.6,100,Heavy,1,Standard,3805.3,6.497461928934011,7.705882352941177,294.11764705882354
17,Ceiling Fan,61,4,9.27,115,2,Rural,Middle,Independent House,Spring,0.489,14.67,95.38,80,Heavy,2,Standard,3805.3,6.501704158145876,8.01639344262295,65.57377049180327
17,Air Conditioner,1360,2,8.77,144,2,Rural,Middle,Independent House,Spring,13.757,412.71,2682.59,40,Heavy,4,Standard,3805.3,6.49993942477769,10.115441176470588,1.4705882352941175
17,Washing Machine,553,4,1.02,392,2,Rural,Middle,Independent House,Spring,0.555,16.66,108.28,80,Regular,5,Standard,3805.3,6.4993997599039615,1.003616636528029,7.2332730560578655
17,Microwave,711,5,1.1,194,2,Rural,Middle,Independent House,Spring,0.608,18.25,118.64,100,Regular,8,Standard,3805.3,6.500821917808219,0.8551336146272854,7.032348804500703
18,Refrigerator,283,4,24.0,94,4,Rural,Middle,Independent House,Winter,5.994,179.83,1168.87,80,Heavy,2,Premium,3010.91,6.499860979814268,21.180212014134273,14.13427561837456
18,Television,114,4,9.74,159,4,Rural,Middle,Independent House,Winter,1.064,31.93,207.52,80,Heavy,9,Standard,3010.91,6.499217037269027,9.333333333333334,35.08771929824561
18,LED Lights,9,5,9.64,133,4,Rural,Middle,Independent House,Winter,0.074,2.22,14.42,100,Heavy,4,Standard,3010.91,6.495495495495495,8.222222222222221,555.5555555555555
18,Ceiling Fan,58,4,9.17,87,4,Rural,Middle,Independent House,Winter,0.477,14.3,92.95,80,Heavy,4,Premium,3010.91,6.5,8.224137931034482,68.9655172413793
18,Air Conditioner,1579,2,3.12,345,4,Rural,Middle,Independent House,Winter,6.021,180.63,1174.11,40,Regular,4,Standard,3010.91,6.500083042683939,3.8131728942368586,1.266624445851805
18,Washing Machine,715,5,2.28,81,4,Rural,Middle,Independent House,Winter,1.344,40.33,262.14,100,Regular,3,Standard,3010.91,6.499876022811803,1.8797202797202799,6.993006993006993
18,Microwave,704,5,0.79,90,4,Rural,Middle,Independent House,Winter,0.466,13.99,90.9,100,Regular,8,Standard,3010.91,6.497498213009293,0.6619318181818182,7.1022727272727275
19,Refrigerator,232,2,24.0,141,4,Urban,Low,Apartment,Monsoon,6.368,191.04,1241.78,40,Heavy,7,Standard,1611.94,6.5001046901172534,27.448275862068964,8.620689655172413
19,Television,176,5,5.37,131,4,Urban,Low,Apartment,Monsoon,0.707,21.22,137.9,100,Regular,4,Standard,1611.94,6.498586239396796,4.017045454545454,28.40909090909091
19,LED Lights,15,5,6.78,311,4,Urban,Low,Apartment,Monsoon,0.084,2.52,16.36,100,Regular,3,Standard,1611.94,6.492063492063492,5.6,333.33333333333337
19,Ceiling Fan,77,4,14.62,235,4,Urban,Low,Apartment,Monsoon,1.107,33.22,215.9,80,Heavy,7,Standard,1611.94,6.4990969295605066,14.376623376623376,51.94805194805195
20,Refrigerator,298,3,24.0,236,4,Suburban,Low,Apartment,Monsoon,6.633,198.99,1293.42,60,Heavy,7,Standard,1622.01,6.499924619327604,22.258389261744966,10.067114093959733
20,Television,92,3,9.01,202,4,Suburban,Low,Apartment,Monsoon,0.879,26.36,171.31,60,Heavy,4,Standard,1622.01,6.498861911987861,9.554347826086957,32.608695652173914
20,LED Lights,9,5,9.88,204,4,Suburban,Low,Apartment,Monsoon,0.066,1.98,12.89,100,Heavy,4,Budget,1622.01,6.51010101010101,7.333333333333334,555.5555555555555
20,Ceiling Fan,65,4,11.81,131,4,Suburban,Low,Apartment,Monsoon,0.74,22.21,144.39,80,Heavy,5,Budget,1622.01,6.501125619090499,11.384615384615383,61.53846153846153
21,Refrigerator,254,5,12.0,80,2,Suburban,Middle,Apartment,Summer,2.589,77.67,504.86,100,Heavy,1,Budget,4490.03,6.500064374919531,10.19291338582677,19.68503937007874
21,Television,137,3,8.95,157,2,Suburban,Middle,Apartment,Summer,1.323,39.69,258.02,60,Heavy,8,Standard,4490.03,6.500881834215168,9.656934306569344,21.8978102189781
21,LED Lights,9,5,8.7,318,2,Suburban,Middle,Apartment,Summer,0.066,1.97,12.8,100,Heavy,1,Standard,4490.03,6.497461928934011,7.333333333333334,555.5555555555555
21,Ceiling Fan,57,3,8.3,150,2,Suburban,Middle,Apartment,Summer,0.433,12.98,84.4,60,Heavy,8,Premium,4490.03,6.50231124807396,7.5964912280701755,52.63157894736842
21,Air Conditioner,1016,2,15.1,110,2,Suburban,Middle,Apartment,Summer,17.664,529.93,3444.52,40,Heavy,4,Budget,4490.03,6.499952823957882,17.385826771653544,1.968503937007874
21,Washing Machine,790,5,0.69,84,2,Suburban,Middle,Apartment,Summer,0.437,13.12,85.28,100,Regular,6,Budget,4490.03,6.500000000000001,0.5531645569620253,6.329113924050633
21,Microwave,1019,4,0.53,87,2,Suburban,Middle,Apartment,Summer,0.514,15.41,100.15,80,Regular,9,Budget,4490.03,6.499026606099935,0.5044160942100099,3.925417075564279
22,Refrigerator,198,5,18.0,190,3,Urban,Middle,Apartment,Monsoon,3.113,93.4,607.12,100,Heavy,7,Premium,4502.9400000000005,6.500214132762312,15.722222222222221,25.252525252525253
22,Television,193,4,8.79,81,3,Urban,Middle,Apartment,Monsoon,1.558,46.75,303.88,80,Heavy,5,Budget,4502.9400000000005,6.500106951871658,8.072538860103627,20.72538860103627
22,LED Lights,20,5,6.77,119,3,Urban,Middle,Apartment,Monsoon,0.11,3.31,21.53,100,Regular,9,Standard,4502.9400000000005,6.504531722054381,5.5,250.0
22,Ceiling Fan,76,4,11.52,171,3,Urban,Middle,Apartment,Monsoon,0.752,22.56,146.64,80,Heavy,4,Premium,4502.9400000000005,6.5,9.894736842105264,52.631578947368425
22,Air Conditioner,1287,4,13.1,248,3,Urban,Middle,Apartment,Monsoon,15.689,470.66,3059.27,80,Heavy,7,Budget,4502.9400000000005,6.4999575064802615,12.19036519036519,3.1080031080031083
22,Washing Machine,667,3,1.57,170,3,Urban,Middle,Apartment,Monsoon,1.144,34.33,223.17,60,Regular,8,Standard,4502.9400000000005,6.500728226041363,1.7151424287856072,4.497751124437781
22,Microwave,850,5,0.98,238,3,Urban,Middle,Apartment,Monsoon,0.725,21.74,141.33,100,Regular,2,Premium,4502.9400000000005,6.500919963201473,0.8529411764705882,5.882352941176471
23,Refrigerator,176,3,12.0,237,2,Urban,Middle,Apartment,Summer,2.045,61.36,398.86,60,Heavy,6,Standard,6961.139999999999,6.5003259452412,11.619318181818182,17.045454545454547
23,Television,140,3,7.05,98,2,Urban,Middle,Apartment,Summer,0.918,27.55,179.06,60,Regular,7,Standard,6961.139999999999,6.4994555353902,6.557142857142858,21.428571428571427
23,LED Lights,17,5,8.6,137,2,Urban,Middle,Apartment,Summer,0.106,3.17,20.58,100,Heavy,1,Budget,6961.139999999999,6.492113564668769,6.235294117647059,294.11764705882354
23,Ceiling Fan,52,3,10.22,143,2,Urban,Middle,Apartment,Summer,0.564,16.91,109.88,60,Heavy,9,Standard,6961.139999999999,6.497930218805441,10.846153846153845,57.69230769230769
23,Air Conditioner,1895,3,16.39,120,2,Urban,Middle,Apartment,Summer,30.288,908.63,5906.07,60,Heavy,9,Standard,6961.139999999999,6.499972486050427,15.98311345646438,1.5831134564643798
23,Washing Machine,485,4,1.26,93,2,Urban,Middle,Apartment,Summer,0.578,17.34,112.69,80,Regular,5,Standard,6961.139999999999,6.4988465974625145,1.1917525773195874,8.247422680412372
